confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated
5079,46,NV,0
5106,47,NV,0
5124,47,NV,0
5138,47,NV,0
5155,47,NV,0
5163,47,NV,0
5176,47,NV,0
5199,47,NV,0
5228,47,NV,0
5257,47,NV,0
5268,49,NV,0
5287,49,NV,0
5305,49,NV,0
5323,49,NV,0
5373,49,NV,0
5442,49,NV,0
5489,49,NV,0
5509,49,NV,0
5532,49,NV,0
5564,49,NV,0
5606,49,NV,0
5716,50,NV,0
5811,50,NV,0
5883,50,NV,0
5977,50,NV,0
6013,50,NV,0
6042,51,NV,0
6068,52,NV,0
6154,52,NV,0
6228,52,NV,0
6296,52,NV,0
6350,52,NV,0
6405,52,NV,0
6435,52,NV,0
6451,52,NV,0
6523,52,NV,0
6562,52,NV,0
6623,52,NV,0
6656,56,NV,0
6708,56,NV,0
6723,56,NV,0
6742,57,NV,0
6768,57,NV,0
6809,58,NV,0
6858,59,NV,0
6896,59,NV,0
6944,59,NV,0
6966,59,NV,0
6986,59,NV,0
7028,59,NV,0
7083,61,NV,0
7134,61,NV,0
7168,62,NV,0
7202,62,NV,0
7223,62,NV,0
7238,64,NV,0
7286,66,NV,0
7319,68,NV,0
7338,68,NV,0
7368,68,NV,0
7400,68,NV,0
7413,68,NV,0
7438,68,NV,0
7461,69,NV,0
7513,69,NV,0
7553,70,NV,0
7599,71,NV,0
7647,71,NV,0
7674,71,NV,0
7692,71,NV,0
7735,71,NV,0
7775,71,NV,0
7804,71,NV,0
7849,71,NV,0
7876,73,NV,0
7891,73,NV,0
7908,74,NV,0
7938,74,NV,0
7973,75,NV,0
8009,75,NV,0
8054,76,NV,0
8089,76,NV,0
8110,77,NV,0
8110,77,NV,0
8177,77,NV,0
8227,77,NV,0
8272,77,NV,0
8320,77,NV,0
8376,78,NV,0
8395,79,NV,0
8421,79,NV,0
8482,80,NV,0
8551,81,NV,0
8624,81,NV,0
8664,82,NV,0
8731,82,NV,0
8771,82,NV,0
8800,82,NV,0
8902,82,NV,0
8985,82,NV,0
9073,82,NV,0
9142,82,NV,0
9214,82,NV,0
9259,82,NV,0
9294,82,NV,9.55
9374,85,NV,9.55
9443,86,NV,9.55
9503,86,NV,9.55
9560,86,NV,9.55
9607,86,NV,9.55
9638,90,NV,9.55
9681,90,NV,9.55
9760,91,NV,9.55
9834,92,NV,9.55
9896,92,NV,9.55
9958,92,NV,9.55
10016,92,NV,11.18
10050,92,NV,11.18
10076,92,NV,11.21
10122,92,NV,11.3
10159,92,NV,11.41
10219,92,NV,11.8
10264,92,NV,12.21
10305,92,NV,12.97
10324,92,NV,12.98
10345,92,NV,14.01
10399,94,NV,15.44
10437,94,NV,16.83
10469,95,NV,18.03
10505,97,NV,18.68
10522,98,NV,18.72
10538,98,NV,18.73
10555,98,NV,18.9
10570,98,NV,18.9
10585,98,NV,19.59
10608,98,NV,20.43
10638,99,NV,21.19
10650,99,NV,21.19
10650,99,NV,21.19
10679,100,NV,21.71
10704,100,NV,22.36
10721,100,NV,22.68
10721,100,NV,22.71
